,property_title,property_location,property_area,property_bedrooms,property_bathrooms,property_description,property_agent,property_price,property_price_currency,property_price_amount
1428,3 bedroom apartment for sale in Runda,"Runda, Westlands",-,3,3,3 bedroom apartment for sale in Runda,Azizi Realtors,"KSh 14,000,000",KSh,14000000.0
1429,4 bedroom apartment for sale in Lavington,"Lavington, Dagoretti North",270 m²,4,4,"4 BEDROOM DUPLEX + DSQ FOR SALE IN LAVINGTION,...",Splendor Holdings,"KSh 35,000,000",KSh,35000000.0
1430,2024 m² residential land for sale in Muthaiga Area,"Coffee Garden Drive, Muthaiga Area, Muthaiga",2024 m²,-,-,0.5 Acre Plot in A Gated Community For Sale in...,Simkar Group Limited,"KSh 50,000,000",KSh,50000000.0
1431,5 bedroom townhouse for sale in Lavington,"Lavington, Dagoretti North",1012 m²,5,"6
 ",BEAUTIFUL AND EXTREMELY SPACIOUS 5 BEDROOM TOW...,A1 Properties Ltd,"KSh 140,000,000",KSh,140000000.0
1432,1 ac commercial land for sale in Muthaiga Area,"Thika super highway. kiambu junction, Muthaiga Area, Muthaiga",1 ac,-,-,0ne Acre Muthaiga Nairobi,Marite Enterprises Limited,"KSh 650,000,000",KSh,650000000.0
1433,1 ac land for sale in Langata Area,"Langata road, Langata Area, Langata",1 ac,-,-,Land for development of town houses,First Villas,"KSh 85,000,000",KSh,85000000.0
1434,Furnished 2 bedroom apartment for sale in Kilimani,"Kilimani, Dagoretti North",96 m²,2,2,Executive 2 bedrooms for sale from 8.5m,Round The Clock Homes,"KSh 8,500,000",KSh,8500000.0
1435,3 bedroom apartment for sale in Brookside,"Brookside, Westlands",-,3,5,3 Bedroom Apartment Plus Dsq For Sale,Origin Homes,"KSh 22,000,000",KSh,22000000.0
1436,1 bedroom apartment for sale in Westlands Area,"Westlands Road, Nairobi, Westlands Area, Westlands",-,1,1,1 & 2 Bedroom Luxurious Apartments Coming Up In...,Coral Property International Ltd,"KSh 13,400,000",KSh,13400000.0
1437,3 bedroom apartment for sale in Ngong Road,"Ngong Road, Ngong Road",-,3,2,Brand New 3 Bedroom Apartment for Sale off Ngon...,Sky Limits Ventures,"KSh 12,500,000",KSh,12500000.0
1438,2 bedroom apartment for sale in Kiambu Road,"Fourways Junction, Kiambu Road, Kiambu Road",-,2,2,2 bedroom master Ensuite For Sale At Fourways J...,Royani Properties Limited,"KSh 10,500,000",KSh,10500000.0
1439,9 ac residential land for sale in Karen,"Karen, Langata",9 ac,-,-,9 acres vacant land for sale in Karen (Kenya),Pam Golding Properties,"KSh 513,000,000",KSh,513000000.0
1440,4 bedroom house for sale in Ridgeways,"Ridgeways, Ridgeways",-,4,4,4 Bedroom Mansion at Ridgeways Estate,Afrique Properties Limited,"KSh 60,000,000",KSh,60000000.0
1441,Furnished 3 bedroom apartment for sale in Spring Valley,"Peponi road, Spring Valley, Westlands",-,3,3,3 bedrooms apartment for sale in peponi road,Dakima Home International,"KSh 42,000,000",KSh,42000000.0
1442,2 bedroom apartment for sale in Naivasha Road,"Natureville Valley, Naivasha Road, Dagoretti North",-,2,2,Natureville Valley Apartments - Naivasha Road F...,-,"KSh 7,950,000",KSh,7950000.0
1443,4 bedroom apartment for sale in Lavington,"Lavington, Dagoretti North",250 m²,4,-,4 BEDROOM EXECUTIVE APARTMENT + DSQ FOR SALE IN...,Splendor Holdings,"KSh 17,000,000",KSh,17000000.0
1444,6 bedroom house for sale in Nyari,"Nyari, Westlands",-,6,6,6 Bedrooms House,Rejima Homes Limited,"KSh 115,000,000",KSh,115000000.0
1445,4 bedroom apartment for sale in Riverside,"Riverside, Westlands",3400 ft²,4,5,LUXURY AND COMFORT BROUGHT TO YOU!! 4 BEDROOM D...,A1 Properties Ltd,"KSh 56,000,000",KSh,56000000.0
1446,4 bedroom apartment for sale in Kileleshwa,"Kileleshwa, Kileleshwa, Dagoretti North",211 m²,4,5,LOVELY 4BEDROOM ALL ENSUITE PLUS DSQ,Balis Properties,"KSh 23,000,000",KSh,23000000.0
1447,1 bedroom apartment for sale in Kilimani,"Kilimani, Dagoretti North",-,1,1,1 Bedroom Apartment For Sale in Kilimani,Ring Kenya Ltd,"KSh 5,000,000",KSh,5000000.0
1448,3 bedroom apartment for sale in Clay City,"Clay City, Kasarani",-,3,2,"Clay City Apartments- Kasarani
 ",Tysons Limited,"KSh 8,650,000",KSh,8650000.0
1449,2 bedroom apartment for sale in General Mathenge,"General Mathenge, General Mathenge, Westlands",-,2,2,2 Bedroomed Apartment For Sale in Westlands,Azizi Realtors,"KSh 22,000,000",KSh,22000000.0
1450,2 bedroom apartment for sale in Brookside,"Brookside, Westlands",170 m²,2,2,LUXURIOUS AND MODERN 2 BEDROOM PLUS SQ APARTMEN...,Nuru Breeze Homes Realty Limited,"KSh 18,000,000",KSh,18000000.0
1451,3 bedroom apartment for sale in Lavington,"Lavington, Dagoretti North",-,3,-,3bdrm + sq in Lavington,REALTY BORIS,"KSh 18,000,000",KSh,18000000.0
1452,2 bedroom apartment for sale in Lavington,"Mbaazi avenue, Lavington, Dagoretti North",85 m²,2,2,2 bedroom apartment master en-suite for sale in...,Crystal Valuers LTD,"KSh 9,800,000",KSh,9800000.0
1453,Studio apartment for sale in Ngara,"Musindi road, Ngara, Starehe",37 m²,0,1,Studio Apartments for Sale in Ngara,Signature Africa,"KSh 3,700,000",KSh,3700000.0
1454,Residential land for sale in Runda,"Runda, Westlands",-,-,-,Runda Residential Plots on Special Offer,Afrique Properties Limited,"KSh 40,000,000",KSh,40000000.0
1455,Land for sale in Loresho,"Loresho, Westlands",-,-,-,Prime 2.47 acre for Sale in Loresho,Dayfield Agencies,"KSh 180,000,000",KSh,180000000.0
1456,0.5 ac residential land for sale in Runda,"Runda, Westlands",-,-,-,Gorgeous 0.5 Acre Plot For Sale,Pam Golding Properties,"KSh 45,000,000",KSh,45000000.0
1457,4 bedroom house for sale in Karen,"Fair acres, Karen, Langata",-,4,3,4BR BUNGALOW FOR SALE IN KAREN,Amuti Services Ltd,"KSh 60,000,000",KSh,60000000.0
1458,4 bedroom house for sale in Kilimani,"Kilimani, Dagoretti North",-,4,5,Kilimani 4 bedroom mansion to let,Canaan Properties,"KSh 47,000,000",KSh,47000000.0
1459,3 bedroom apartment for sale in Parklands,"Nairobi, Close to Limuru Road, Parklands, Westlands",1800 ft²,3,2,3 Bedroom Apartment For Sale In Parklands Close...,Coral Property International Ltd,"KSh 17,800,000",KSh,17800000.0
1460,3 bedroom apartment for sale in Kileleshwa,"Kileleshwa, Dagoretti North",-,3,2,Brand new 3 bedroom Apartment for sale in Kilel...,Wilnas Property Ltd,"KSh 10,500,000",KSh,10500000.0
1461,3 bedroom apartment for sale in Brookside,"Brookside Drive, Brookside, Westlands",-,3,3,3 Bedroom Master En-Suite Lovely Apartment In B...,Simkar Group Limited,"KSh 22,500,000",KSh,22500000.0
1462,4 bedroom house for sale in Kitisuru,"Kitisuru, Westlands",-,4,6,4 BEDROOM MANSIONETTE HOUSE FOR SALE KITISURU,Asman Homes,"KSh 75,000,000",KSh,75000000.0
1463,2 bedroom apartment for sale in Kilimani,"Kilimani, Dagoretti North",140 m²,2,2,"2 BEDROOM APARTMENT + DSQ FOR SALE, NEW, (FRO...",Splendor Holdings,"KSh 12,000,000",KSh,12000000.0
1464,5 bedroom apartment for sale in Kilimani,"Kilimani, Kilimani, Dagoretti North",330 m²,5,6,5BEDROOM ALL ENSUITE PENTHOUSE,Balis Properties,"KSh 36,000,000",KSh,36000000.0
1465,4 bedroom house for sale in Kilimani,"Kilimani, Dagoretti North",-,4,2,"House for Sale in Kilimani- Galana Road
 ",Tysons Limited,"KSh 36,000,000",KSh,36000000.0
1466,1 bedroom apartment for sale in Kilimani,"Argwings Kodhek road, Opposite Quick Mart Supermarket, Kilimani, Dagoretti North",-,1,2,One bedroom Apartments for sale,Regent Management Ltd,"KSh 12,000,000",KSh,12000000.0
1467,3 bedroom apartment for sale in Imara Daima,"Mombasa Road, Mombasa Road, Imara Daima, Embakasi",-,3,3,EXQUISITE 3 BEDROOMS APARTMENT FOR SALE AT IMAR...,THE GRAND RAVIX LIMITED,"KSh 9,300,000",KSh,9300000.0
1468,4 bedroom townhouse for sale in Spring Valley,"Spring Valley, Westlands",500 m²,4,5,Meticulous 5 Bedroom Townhouse For Sale in Shan...,Nuru Breeze Homes Realty Limited,"KSh 100,000,000",KSh,100000000.0
1469,3 bedroom apartment for sale in Parklands,"Parklands, Westlands",1800 ft²,3,3,A Spacious 3 Bedroom Apartment For Sale in Park...,Coral Property International Ltd,"KSh 19,000,000",KSh,19000000.0
1470,5 bedroom house for sale in Lavington,"Lavington, Dagoretti North",-,5,-,5 Bedroom Home in a Gated Community in Lavingto...,FAPCL Group,"KSh 110,000,000",KSh,110000000.0
1471,4 bedroom house for sale in Rosslyn,"Rosslyn, Westlands",-,4,4,Rosslyn Springs Villas,Tysons Limited,"KSh 66,300,000",KSh,66300000.0
1472,5 bedroom villa for sale in Lavington,"Amboseli, Lavington, Dagoretti North",-,5,5,Spacious,Halifax Estate Agency,"KSh 58,000,000",KSh,58000000.0
1473,3 bedroom apartment for sale in Riverside,"Riverside, Westlands",-,3,3,STUNNING APARTMENTS FOR SALE RIVERSIDE,Olympia Gold Real Estate,"KSh 25,000,000",KSh,25000000.0
1474,3 bedroom apartment for sale in Lavington,"Othaya road, Lavington, Dagoretti North",179 m²,3,4,Modern 3 Bedroom All Ensuite + DSQ for sale in...,Abode Realty,"KSh 16,500,000",KSh,16500000.0
1475,Furnished 3 bedroom apartment for sale in Westlands Area,"ROYAL APARTMENTS, -OFF CHURCH , Westlands Area, Westlands",-,3,3,3 Bedroom Apartment For Sale In Westlands,Halifax Estate Agency,"KSh 275,000,000",KSh,275000000.0
1476,0.25 ac commercial land for sale in Industrial Area,"Industrial Area, Embakasi",-,-,-,Embakasi Plot,Crystal Valuers LTD,"KSh 40,000,000",KSh,40000000.0
1477,1 bedroom apartment for sale in Kileleshwa,"Kileleshwa, Dagoretti North",-,1,1,Moon Valley Apartments- Kileleshwa,Tysons Limited,"KSh 9,500,000",KSh,9500000.0
1478,Furnished studio apartment for sale in Upper Hill,"Upper Hill, Langata",30 m²,0,1,Tastefully Designed Fully Furnished Studio For...,Nuru Breeze Homes Realty Limited,"KSh 5,500,000",KSh,5500000.0
1479,3 bedroom apartment for sale in Parklands,"1st Parklands Avenue, 1st Parklands Avenue, Parklands, Westlands",1650 ft²,3,2,3 Bedroom Apartment for sale at 1st Parklands A...,THE GRAND RAVIX LIMITED,"KSh 16,500,000",KSh,16500000.0
1480,2 bedroom apartment for sale in Kileleshwa,"Kileleshwa, Dagoretti North",105 m²,2,2,AFFORDABLE 2 BEDROOM APARTMENTS IN KILELESHWA,A1 Properties Ltd,"KSh 9,000,000",KSh,9000000.0
1481,3 bedroom house for sale in Parklands,"Mtama Lane, Parklands, Nairobi, Parklands, Westlands",279 m²,3,-,"3 bed, Mtama Lane, Parklands, Nairobi",Fit Property,"KSh 29,800,000",KSh,29800000.0
1482,Commercial property for sale in Cbd,"Cbd, Starehe",-,-,-,Prime Commercial Property For Sale,Cura International,"KSh 120,000,000",KSh,120000000.0
1483,2 bedroom apartment for sale in Naivasha Road,"Naivasha Road, Dagoretti North",80 m²,2,2,2 Bed Flat & Apartment for Sale in Naivasha Roa...,-,"KSh 6,950,000",KSh,6950000.0
1484,Studio apartment for sale in Ngong Road,"Lynx apartments, Ngong Road, Ngong Road",-,0,1,Studio apartment for sale Ngong road,Crystal Valuers LTD,"KSh 4,700,000",KSh,4700000.0
1485,3 bedroom apartment for sale in General Mathenge,"General Mathenge, General Mathenge, Westlands",232 m²,3,3,3 Bedroom Spacious Apartment For Sale Off Gener...,Coral Property International Ltd,"KSh 19,000,000",KSh,19000000.0
1486,0.2 ac commercial land for sale in Donholm,"Umoja, Moi Drive, Donholm, Embakasi",-,-,-,Commercial plot for sale,First Villas,"KSh 20,000,000",KSh,20000000.0
1487,Furnished 3 bedroom apartment for sale in Brookside,"Brookside, Westlands",2000 ft²,3,3,3 bedroom apartment all en suite for sale in We...,Crystal Valuers LTD,"KSh 27,000,000",KSh,27000000.0
1488,2 bedroom apartment for sale in Kileleshwa,"Denis Pritt, Kileleshwa, Dagoretti North",100 m²,2,2,2 bedroom apartment along Denis Pritt Road,First Villas,"KSh 12,000,000",KSh,12000000.0
1489,2024 m² residential land for sale in Runda,"Runda, Westlands",2024 m²,-,-,Prime 0.5 Acres off Panafric Avenue,GerryVille Homes,"KSh 34,500,000",KSh,34500000.0
1490,3 bedroom apartment for sale in Loresho,"Bridgeview Apartments , Loresho, Westlands, Loresho, Westlands",1023 m²,3,2,Bridgeview Park Apartments- Off Waiyaki Way,Crystal Valuers LTD,"KSh 10,650,000",KSh,10650000.0
1491,3 bedroom apartment for sale in Westlands Area,"Mvuli Road, Westlands Area, Westlands",-,3,3,Contemporary 3 Bedroom Apartment For Sale on Mv...,Coral Property International Ltd,"KSh 27,500,000",KSh,27500000.0
1492,3 bedroom apartment for sale in Imara Daima,"Imara Daima, Embakasi",1330 ft²,3,3,3bedroom Apartment For Sale,Unique Listings Limited,"KSh 9,000,000",KSh,9000000.0
1493,4 bedroom townhouse for sale in Kiambu Road,"Kiambu Road, Kiambu Road",242 m²,4,4,STUNNING WORLD CLASS TOWNHOUSE,Olympia Gold Real Estate,"KSh 35,000,000",KSh,35000000.0
1494,5 bedroom townhouse for sale in Lavington,"Lavington, Dagoretti North",-,5,5,PYRAMID RIDGE 5 BEDROOM LUXURY TOWNHOUSES FOR S...,Olympia Gold Real Estate,"KSh 75,000,000",KSh,75000000.0
1495,3 bedroom apartment for sale in Kiambu Road,"Fourways Junction Estate, Kiambu Road, Kiambu Road",120 m²,3,2,AN ATTIC 3 BEDROOM APARTMENT FOR SALE IN FOURWA...,Royani Properties Limited,"KSh 13,500,000",KSh,13500000.0
1496,1 ac land for sale in Kiambu Road,"45, Kiambu rd, Kiambu Road, Kiambu Road",1 ac,-,-,Kiambu rd,-,"KSh 100,000,000",KSh,100000000.0
1497,2 bedroom apartment for sale in Westlands Area,"101w, Westlands, Westlands Road, Westlands Area, Westlands",1500 ft²,2,3,Prestigious two bedroom apartment situated in W...,Ace Realtors Limited,"KSh 21,500,000",KSh,21500000.0
1498,Residential land for sale in Karen,"Karen, Langata",-,-,-,PRIME PLOT IN A SELECT RESIDENTIAL AREA,Karengata Property Managers,"KSh 175,000,000",KSh,175000000.0
1499,3 bedroom apartment for sale in Thika Road,"Thika Road, Thika Road",-,3,2,"3 Bedroom Apartment, Kahawa Downs, Thika Road",Landmark Realtors Ltd,"KSh 8,000,000",KSh,8000000.0
1500,2 bedroom apartment for sale in Kilimani,"Heartland Gardens Apartments, Kilimani, Dagoretti North",-,2,2,"Studios, 1 & 2 bedroom apartments for Sale in H...",Crystal Valuers LTD,"KSh 9,000,000",KSh,9000000.0
1501,Land for sale in Nyari,"Nyari, Westlands",-,-,-,Prime Land For Sale In Nyari,Halifax Estate Agency,"KSh 240,000,000",KSh,240000000.0
1502,4 bedroom apartment for sale in Kilimani,"Kilimani, Dagoretti North",270 m²,4,4,NEW 4 BEDROOM EXECUTIVE APARTMENT + DSQ FOR SAL...,Splendor Holdings,"KSh 23,000,000",KSh,23000000.0
1503,3 bedroom house for sale in Njiru,"Njiru, Kasarani",-,3,-,3 Bedroom Bungalow for sale,Miamu Properties Limited,"KSh 10,500,000",KSh,10500000.0
1504,500 m² residential land for sale in Waithaka,"Mutuini, Waithaka, Dagoretti South",500 m²,-,-,You’ll Want To Live Here!,Plots 2 Homes Properties,"KSh 6,250,000",KSh,6250000.0
1505,5 bedroom townhouse for sale in Karen,"Karen, Langata",2024 m²,5,3,NEW AND LUXURIOUS 5 BEDROOM TOWNHOUSE IN KAREN,A1 Properties Ltd,"KSh 160,000,000",KSh,160000000.0
1506,5 bedroom townhouse for sale in Lavington,"Lavington, Dagoretti North",700 m²,5,6,Executive 5 bedrooms all ensuite + DSQ for sal...,Kenya Classic Homes,"KSh 75,000,000",KSh,75000000.0
1507,2 bedroom apartment for sale in Kilimani,"Kilimani, Dagoretti North",-,2,2,2bedroom newly built bedroom on sale,Canaan Properties,"KSh 9,500,000",KSh,9500000.0
1508,4 bedroom apartment for sale in Rhapta Road,"At East Church Road, Off Rhapta Road, Rhapta Road, Westlands",-,4,5,Block Of Apartments Of 12 Units – Ksh 280M,Rainmaker Brokerage Ltd,"KSh 280,000,000",KSh,280000000.0
1509,4 bedroom apartment for sale in Parklands,"Parklands, Westlands",-,4,-,The Perfect 4 Bedroom Apartment with Stunning V...,Pam Golding Properties,"KSh 18,000,000",KSh,18000000.0
1510,0.75 ac land for sale in Riverside,"Riverside, Westlands",-,-,-,PRIME 3/4 ACRE LAND FOR SALE ON RIVERSIDE DRIVE,A1 Properties Ltd,"KSh 230,000,000",KSh,230000000.0
1511,Land for sale in Kawangware,"Kawangware, Dagoretti North",-,-,-,Kawangware Plot,Crystal Valuers LTD,"KSh 20,000,000",KSh,20000000.0
1512,3 bedroom apartment for sale in Riara Road,"Riara Lane, Riara Road, Dagoretti North",-,3,3,Spacious 4 Bedroom (all ensuite) 7th Floor Apar...,Shingles Kenya Limited,"KSh 14,000,000",KSh,14000000.0
1513,Land for sale in Kahawa West,"Kahawa West, Roysambu",-,-,-,Plot for sale in Kahawa West,Cura International,"KSh 11,000,000",KSh,11000000.0
1514,2 bedroom apartment for sale in Thika Road,"Garden City, Thika Road, Thika Road",980 ft²,2,2,Stylish 2 bedroom apartments for sale,Property Point Urban Kenya,"KSh 10,000,000",KSh,10000000.0
1515,Residential land for sale in Eastleigh,"Eastleigh, Kamukunji Constituency",-,-,-,PRIME 1/2 ACRE PLOT IN EASTLEIGH,Lighthouse Homes Limited,"KSh 35,000,000",KSh,35000000.0
1516,4 bedroom apartment for sale in Lavington,"Lavington, Dagoretti North",-,4,5,4 bedroom apartments,Azizi Realtors,"KSh 33,000,000",KSh,33000000.0
1517,4 bedroom house for sale in Kiambu Road,"Kencom Sacco, Kiambu Road, Kiambu Road",-,4,4,4 BR VILLA IN KENCOM SACCO FOR SALE OFF PARADIS...,Royani Properties Limited,"KSh 37,000,000",KSh,37000000.0
1518,3 bedroom apartment for sale in Kileleshwa,"435, Othaya rd, Kileleshwa, Dagoretti North",-,3,3,3 bedroom apartment,Didenco Investments,"KSh 17,000,000",KSh,17000000.0
1519,3 bedroom townhouse for sale in Lavington,"Lavington, Dagoretti North",-,3,3,Lavish 5 bedroom Townhouse all Ensuite with Dsq...,Wilnas Property Ltd,"KSh 65,000,000",KSh,65000000.0
1520,Land for sale in Lower Kabete,"Lower Kabete, Westlands",-,-,-,Land for sale in Lower Kabete,Cura International,"KSh 60,000,000",KSh,60000000.0
1521,6 bedroom house for sale in Ridgeways,"Ridgeways, Ridgeways",-,6,5,A 6 Bedroom Cape-Dutch-Style House on 0.5 acres...,Shingles Kenya Limited,"KSh 90,000,000",KSh,90000000.0
1522,Residential land for sale in Runda,"Ruaka Road, Runda, Westlands",-,-,-,0.5-Acre Plot For Sale in Runda - Ruaka Road,Simkar Group Limited,"KSh 53,000,000",KSh,53000000.0
1523,"2306.7 m² residential land for sale in Runda
 ","Runda, Westlands",2306 m²,-,-,Prime 0.57 Acre Plot For Sale In Runda Ideal Fo...,LIflac Properties,"KSh 48,000,000",KSh,48000000.0
1524,3 bedroom apartment for sale in Parklands,"Parklands, Westlands",-,3,4,3 Bedroom Apartment in Parklands,FAPCL Group,"KSh 30,000,000",KSh,30000000.0
1525,1 ac land for sale in Ridgeways,"Ridgeways lane, Ridgeways, Ridgeways",1 ac,-,-,Land for sale,Knight Frank Kenya,"KSh 90,000,000",KSh,90000000.0
1526,0.99 ac land for sale in Parklands,"Nairobi, Kenya, Parklands, Westlands",-,-,-,0.99 Acre Of Land In Parklands,Eden Heights Realty,"KSh 320,000,000",KSh,320000000.0
1527,5 bedroom townhouse for sale in Lavington,"Lavington, Dagoretti North",-,5,6,BEAUTIFUL 5 BEDROOM TOWNHOUSE IN LAVINGTON,A1 Properties Ltd,"KSh 65,000,000",KSh,65000000.0
1528,4 bedroom house for sale in Lavington,"Lavington, Lavington, Dagoretti North",4047 m²,4,-,4 BED 2HOUSES FOR SALE IN LAVINGTON,Splendour Real Estate,"KSh 200,000,000",KSh,200000000.0
1529,0.75 ac land for sale in Lavington,"Lavington, Dagoretti North",-,-,-,PRIME PIECE OF LAND ON MAGETA RD -LAVINGTON,A1 Properties Ltd,"KSh 150,000,000",KSh,150000000.0
1530,6 bedroom townhouse for sale in Lavington,"Lavington Near Jaffery's Club, Lavington, Dagoretti North",-,6,6,"6 bedroom townhouse,all ensuite Lavington near...",Jusa Homes Limited,"KSh 80,000,000",KSh,80000000.0
1531,3497 m² residential land for sale in Karen,"Lower Plains Road, Karen, Langata",3497 m²,-,-,0.864 Acres Prime Plot For Sale in Karen,Simkar Group Limited,"KSh 48,000,000",KSh,48000000.0
1532,0.75 ac land for sale in Lavington,"Amboseli Lane, Lavington, Dagoretti North",-,-,-,Approximately 0.75 acres for sale on Amboseli L...,Knight Frank Kenya,"KSh 120,000,000",KSh,120000000.0
1533,2 bedroom apartment for sale in Kileleshwa,"Laikipia Road, Kileleshwa, Dagoretti North",-,2,-,Elegant 3 Bedroom Apartments For Sale In Kilele...,Coral Property International Ltd,"KSh 22,500,000",KSh,22500000.0
1534,Land for sale in Runda,"Runda, Westlands",-,-,-,"New Runda, Residential Land",FAPCL Group,"KSh 40,000,000",KSh,40000000.0
1535,Land for sale in New Kitusuru,"Kirawa road, New Kitusuru, Westlands",-,-,-,1/2 acre land for sale in Kitusuru,Crystal Valuers LTD,"KSh 25,000,000",KSh,25000000.0
1536,3 bedroom apartment for sale in Riverside,"Riverside, Westlands",334 m²,3,3,3 Bedroom Apartment For Sale Off Riverside Driv...,Coral Property International Ltd,"KSh 46,000,000",KSh,46000000.0
1537,Land for sale in Thigiri,"Thigiri, Westlands",-,-,-,Prime 1/2 Acre Land For Sale in Thigiri road,Live n Style Agencies,"KSh 107,000,000",KSh,107000000.0
1538,2024 m² residential land for sale in Thome,"Thome, Roysambu",2024 m²,-,-,THOME ESTATE:- RESIDENTIAL PLOTS ON OFFER.,Afrique Properties Limited,"KSh 25,000,000",KSh,25000000.0
1539,376 m² commercial property for sale in Mombasa Road,"Mombasa road, Mombasa Road, Mombasa Road",376 m²,-,-,1 acre land for lease along main Mombasa road,Simton Properties,"KSh 1,200,000",KSh,1200000.0
1540,2 bedroom apartment for sale in Mountain View,"Waiyaki Way, Mountain View, Westlands",102 m²,2,2,2 Bedroom New Apartment For Sale in Waiyaki Way...,Royalgen Estates,"KSh 12,500,000",KSh,12500000.0
1541,3 bedroom apartment for sale in Kileleshwa,"LAIKIPIA RD, Kileleshwa, Dagoretti North",120 m²,3,2,3 BEDROOMS FOR SALE IN KILELESHWA,Abode Realty,"KSh 10,500,000",KSh,10500000.0
1542,3 bedroom apartment for sale in Kilimani,"Off Ngong Road, Kilimani, Dagoretti North",140 m²,3,2,Stylish 3 Bedroom Apartment Master Ensuite,Peech Limited,"KSh 13,700,000",KSh,13700000.0
1543,3 bedroom apartment for sale in Imara Daima,"Imara Daima, Embakasi",-,3,3,Spacious 3 Bedroom Apartment in Imara Daima,Citiscape Valuers & Estate Agents Ltd,"KSh 9,000,000",KSh,9000000.0
1544,2.2 ac land for sale in Old Muthaiga,"Naivasha Avenue, Old Muthaiga, Muthaiga",2 ac,-,-,2.2 Acres Muthaiga Land For Sale,-,"KSh 600,000,000",KSh,600000000.0
1545,2 bedroom apartment for sale in Kilimani,"Denis sprit road, Kilimani, Dagoretti North",-,2,2,Two bedrooms apartment for sale in kilimani,Calmillers Holding Ltd,"KSh 8,500,000",KSh,8500000.0
1546,3 bedroom apartment for sale in Riruta,"Precious Gardens Estate Riruta, Riruta, Dagoretti South",121 m²,3,3,Precious Gardens Estate Riruta -3 Bedroom Apart...,Crystal Valuers LTD,"KSh 9,500,000",KSh,9500000.0
1547,12950 m² land for sale in Karen,"The Hub Karen, Karen, Langata",12950 m²,-,-,Prime Commercial Land for sale in Karen,Crystal Valuers LTD,"KSh 285,000,000",KSh,285000000.0
1548,10359.95 m² commercial land for sale in Industrial Area,"Industrial Area, Embakasi",10359 m²,-,-,"Industrial Land For Sale Off Enterprise Road, N...",Coral Property International Ltd,"KSh 100,000,000",KSh,100000000.0
1549,4 bedroom apartment for sale in Parklands,"Parklands, Westlands",-,4,5,4 Bedroom All Ensuite For Sale-KARIZMA,Halifax Estate Agency,"KSh 25,000,000",KSh,25000000.0
1550,5 bedroom house for sale in Nyari,"Nyari, Westlands",2024 m²,5,5,NYARI:5BEDROOM ALL ENSUITE DOUBLE STOREY ON 0.5...,Jubilee Real Estate,"KSh 100,000,000",KSh,100000000.0
1551,2023.43 m² residential land for sale in Lavington,"Njumbi Rd, Lavington, Dagoretti North",2023 m²,-,-,0.5 ACRES FOR SALE IN LAVINGTON NAIROBI,Sky Limits Ventures,"KSh 95,000,000",KSh,95000000.0
1552,Land for sale in Thika Road,"Thika Road, Thika Road",-,-,-,Vacant land for sale in Thika Road (Kenya) - 3K...,Pam Golding Properties,"KSh 70,000,000",KSh,70000000.0
1553,1 bedroom apartment for sale in Kileleshwa,"Kileleshwa, Dagoretti North",80 m²,1,1,HOT SALE!!!1 BEDROOM EXECUTIVE APARTMENT (MAST...,Splendor Holdings,"KSh 9,000,000",KSh,9000000.0
1554,0.66 ac residential land for sale in Runda,"Runda, Westlands",-,-,-,Prime residential land,Taji Suburbs Ltd,"KSh 50,000,000",KSh,50000000.0
1555,1 bedroom apartment for sale in Karen,"Karen, Langata",-,1,-,1-Bedroom apartment in Karen,Jusa Homes Limited,"KSh 5,995,000",KSh,5995000.0
1556,Furnished 5 bedroom apartment for sale in Lower Kabete,"Lower Kabete, Westlands",-,5,-,5 Bed Triplex Apartment,Citiscape Valuers & Estate Agents Ltd,"KSh 29,500,000",KSh,29500000.0
1557,3 bedroom apartment for sale in General Mathenge,"General Mathenge, General Mathenge, Westlands",160 m²,3,2,3 Bedroom Apartment For Sale in General Matheng...,Royalgen Estates,"KSh 19,000,000",KSh,19000000.0
1558,4 bedroom apartment for sale in Riverside,"Riverside, Westlands",3500 ft²,4,4,4 BEDROOM ALL EN-SUITE DUPLEXES WITH FAMILY ROO...,Wilnas Property Ltd,"KSh 55,000,000",KSh,55000000.0
1559,1 bedroom apartment for sale in Kileleshwa,"Kileleshwa, Kileleshwa, Dagoretti North",850 ft²,1,2,LIMITED OFFER - MODERN 1BEDROOM APARTMENT,Balis Properties,"KSh 7,500,000",KSh,7500000.0
1560,4 bedroom house for sale in Nyari,"Nyari Estate, Nyari, Westlands",325 m²,4,3,Distinguished 4 Bedroom House For Sale Nyari Es...,Coral Property International Ltd,"KSh 120,000,000",KSh,120000000.0
1561,5 bedroom townhouse for sale in Lavington,"Lavington, Dagoretti North",-,5,5,📍LAVINGTON✨5BEDROOM VILLA FOR SALE..Price shs 8...,Badilisha Properties,"KSh 83,000,000",KSh,83000000.0
1562,0.74 ac land for sale in Lavington,"Manyani East Road, Lavington, Dagoretti North",-,-,-,Prime Redevelopment Property for Sale,Knight Frank Kenya,"KSh 130,000,000",KSh,130000000.0
1563,2 bedroom apartment for sale in Kilimani,"Kilimani, Dagoretti North",-,2,-,2 BED KILIMANI APARTMENT,Splendour Real Estate,"KSh 22,000,000",KSh,22000000.0
1564,2 bedroom apartment for sale in Kilimani,"Kilimani, Dagoretti North",100 m²,2,2,2 BEDROOM APARTMENTS FOR SALE IN KILIMANI AND...,Splendor Holdings,"KSh 8,000,000",KSh,8000000.0
