,property_title,property_location,property_area,property_bedrooms,property_bathrooms,property_description,property_agent,property_price
1067,"
4 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
4
",-,"
4 bedroom apartment for sale
",Pam Golding Properties,"
KSh 20,000,000
"
1068,"
0.5 ac commercial land for sale in Parklands
","

Crescent road, Parklands, Westlands

",-,-,-,"
Parklands Half Acre Plot For Sale
",Highend Consulting,"
KSh 250,000,000
"
1069,"
3 bedroom apartment for sale in Kileleshwa
","

1, Kileleshwa, Kileleshwa, Dagoretti North

","
179 m²
","
3
","








4

","
New Exclusive Three and Four Bedroom Apartments...
",Westside Real Estate,"
KSh 16,500,000
"
1070,"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

","
200 m²
","
2
","








 2

","
2 Bedroom Apartment For Sale Kilimani
",Naftal Properties,"
KSh 11,000,000
"
1071,"
Furnished 1 bedroom apartment for sale in State House
","

kolobot road, State House, Dagoretti North

",-,"
1
","








1

","
Spacious
",Halifax Estate Agency,"
KSh 11,500,000
"
1072,"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
3
","








4

","
Exquisite 3 bedroom Apartment
",GerryVille Homes,"
KSh 18,900,000
"
1073,"
2 bedroom apartment for sale in Waiyaki Way
","

Waiyaki Way, Westlands

",-,"
2
","








2

","
Spacious apartments for sale
",-,"
KSh 3,250,000
"
1074,"
5 bedroom house for sale in Karen
","

Karen Plains, Begonia Drive, Karen, Langata

",-,"
5
","








6

","
5 Bedroom House For Sale In Karen
",-,"
 KSh 75,000,000
"
1075,"
2 bedroom apartment for sale in Upper Hill
","

Kiambere Road, Upper Hill, Langata

",-,"
2
","








2

","
TWO BEDROOM UPPERHILL
",-,"
KSh 17,000,000
"
1076,"
418 m² commercial property for sale in Industrial Area
","

Falcon Road, off Enterprise road, Falcon road, Industrial Area, Embakasi

","
418 m²
",-,-,"
Warehouse for Sale in Industrial Area, Falcon R...
",-,"
KSh 25,000,000
"
1077,"
2100 m² residential land for sale in North Muthaiga
","

River Drive, North Muthaiga, Muthaiga

","
2100 m²
",-,-,"
0.5 Acre Plot For Sale in Gated Community near...
",-,"
KSh 55,000,000
"
1078,"
40470 m² land for sale in Runda
","

Runda, Westlands

","
40470 m²
",-,-,"
RUNDA MUMWE:PRIME 10ACRES FOR SALE
",-,"
KSh 60,000,000
"
1079,"
3 bedroom apartment for sale in Westlands Area
","

Westlands Area, Westlands

",-,"
3
",-,"
GENERAL MATHENGE:FULLY FURNISHED APARTMENT FOR...
",-,"
KSh 28,500,000
"
1080,"
5 bedroom house for sale in Lavington
","

Lavington, Dagoretti North

","
440 m²
","
5
","








5

","
LAVINGTON:PRESTIGIOUS 5BEDROOM VILLA FOR SALE
",-,"
KSh 80,000,000
"
1081,"
Residential land for sale in Kitisuru
","

Kitisuru, Westlands

",-,-,-,"
OLD KITISURU:SCANDINAVIAN STYLE HOME ON 3.6ACRE...
",-,"
KSh 120,000,000
"
1082,"
4 bedroom house for sale in Runda
","

Runda, Westlands

","
4047 m²
","
4
",-,"
RUNDA:CHARMING 4BEDROOM HOME FOR SALE
",-,"
KSh 180,000,000
"
1083,"
52830 ft² warehouse for sale in Industrial Area
","

Serem Road, Off Lunga Lunga Road, Industrial Area, Embakasi

","
52830 ft²
",-,-,"
52830 ft² warehouse for sale in Industrial Area
",Dunhill Consulting Limited,"
KSh 170,000,000
"
1084,"
4 bedroom house for sale in Kiambu Road
","

Fourways Junction Estate, Kiambu Road, Kiambu Road

","
506 m²
","
4
","








3

","
AN ELEGANT 4 BR VILLA FOR SALE IN FOURWAYS JUN...
",Royani Properties Limited,"
KSh 30,000,000
"
1085,"
4 bedroom apartment for sale in Lavington
","

Othaya road, Lavington, Dagoretti North

","
245 m²
","
4
","








5

","
4 BEDROOMS ALL ENSUITE WITH DSQ FOR SALE IN LAV...
",Abode Realty,"
KSh 25,000,000
"
1086,"
3 bedroom apartment for sale in Kileleshwa
","

Laikipia Rd, Kileleshwa, Dagoretti North

","
140 m²
","
3
","








3

","
Upscale 3 BR Apartment (2 ensuite)+ Study (Read...
",Prima Properties Ke,"
KSh 12,500,000
"
1087,"
4 bedroom townhouse for sale in Lavington
","

Chalbi Drive, Lavington, Dagoretti North

",-,"
4
","








5

","
Townhouse to let.
",Azizi Realtors,"
KSh 36,000,000
"
1088,"
3 bedroom apartment for sale in Westlands Area
","

Westlands Area, Westlands

",-,"
3
",-,"
3 bedroom apartment for sale in Westlands Area
",Dunhill Consulting Limited,"
KSh 24,000,000
 "
1089,"
3497 m² residential land for sale in Karen
","

Lower Plains Road, Karen, Langata

","
3497 m²
",-,-,"
0.864 Acres Prime Plot For Sale in Karen
",Simkar Group Limited,"
KSh 48,000,000
"
1090,"
2 bedroom apartment for sale in Kileleshwa
","

Othaya RD, Kileleshwa, Dagoretti North

",-,"
2
","








3

","
2 bedroom all ensuite plus SQ in Kileleshwa Oth...
",Knitter Properties Kenya,"
KSh 9,500,000
"
1091,"
4047 m² residential land for sale in Karen
","

Karen, Karen, Langata

","
4047 m²
",-,-,"
1- Acre Plot For Sale in Karen
",Simkar Group Limited,"
KSh 60,000,000
"
1092,"
3 bedroom apartment for sale in Garden Estate
","

Garden Estate Rd, Garden Estate, Roysambu

",-,"
3
","








3

","
EXQUISITE SPACIOUS 3BR & 2BR AVAILABLE FOR SALE...
",Mazz Prestines,"
KSh 15,500,000
"
1093,"
3 bedroom apartment for sale in Parklands
","

Parklands, Westlands

",-,"
3
","








3

","
An Upgraded & Modern 3 bedroom Apartment For Sa...
",Coral Property International Ltd,"
KSh 34,500,000
"
1094,"
3 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
3
","








2

","
ULTRA MODERN APARTMENT FOR SALE IN KILIMANI
",Twinrocks Property Managers,"
KSh 18,000,000
"
1095,"
1 bedroom apartment for sale in Loresho
","

Loresho, Westlands

",-,"
1
","








1

","
1,2 and 3 bedroom apartment off Waiyaki Way
",-,"
KSh 6,600,000
"
1096,"
3 bedroom apartment for sale in Thika Road
","

Thika road, Thika Road, Thika Road

",-,"
3
","








2

","
3 bedroom apartment for sale in Thika Road
",Azizi Realtors,"
KSh 9,000,000
"
1097,"
2509 m² land for sale in Parklands
","

Parklands, Westlands

","
2509 m²
",-,-,"
0.62 Acrs land Parklands
",HassConsult,"
KSh 220,000,000
 "
1098,"
Land for sale in Kahawa West
","

Canaan Rd, Off Kamiti Rd, Kahawa West, Roysambu

",-,-,-,"
Prime 1/8 Acre Plot for Sale in Kiamumbi Estate
",ALIX PROPERTIES LTD,"
KSh 4,500,000
"
1099,"
2 bedroom apartment for sale in Nairobi West
","

Nairobi West, Langata

",-,"
2
","








1

","
2 bedroom apartment for sale -HIGHRISE MBAGATHI...
",Regent Management Ltd,"
KSh 3,800,000
"
1100,"
1 ac land for sale in Karen
","

Karen, Langata

","
1 ac
",-,-,"
HIGH END SERVICED 1 ACRE PLOTS
",A1 Properties Ltd,"
KSh 61,000,000
"
1101,"
2 bedroom apartment for sale in Kilimani
","

KINDARUMA ROAD, Kilimani, Dagoretti North

",-,"
2
","








2

","
KINDARUMA HOME 2 BEDROOM APARTMENTS FOR SALE
",Amali Properties,"
KSh 6,800,000
"
1102,"
1 bedroom apartment for sale in Kilimani
","

Wood Avenue, Kilimani, Dagoretti North

","
35 m²
","
1
","








1

","
Modern Studio Apartment
",Leissure Homes Kenya,"
KSh 3,500,000
"
1103,"
3 bedroom apartment for sale in Parklands
","

2nd Parklands, Parklands, Westlands

","
150 m²
","
 3
","








3

","
3 bedroom Apartments for Sale
",Khalif Modern Homes,"
KSh 15,000,000
"
1104,"
4 bedroom apartment for sale in Riverside
","

Riverside, Westlands

","
3400 ft²
","
4
","








5

","
LUXURY AND COMFORT BROUGHT TO YOU!! 4 BEDROOM D...
",A1 Properties Ltd,"
KSh 56,000,000
"
1105,"
5 bedroom townhouse for sale in Kyuna
","

Grevillea Grove, Kyuna, Westlands

","
420 m²
","
5
","








6

","
5 BR (all en suite) + DSQ Townhouse
",Prima Properties Ke,"
KSh 54,000,000
"
1106,"
1 bedroom apartment for sale in Thika Road
","

Thika Road, Thika Road

",-,"
1
","








1

","
MI VIDA MY HOME MY LIFE
",Olympia Gold Real Estate,"
KSh 6,900,000
"
1107,"
0.57 ac land for sale in Kileleshwa
","

Vihiga Road, Kileleshwa, Dagoretti North

",-,-,-,"
Prime 0.578 acre vacant development site for sa...
",Knight Frank Kenya,"
KSh 120,000,000
"
1108,"
4 bedroom townhouse for sale in Runda
","

Runda, Westlands

","
2024 m²
","
4
","








4

","
RUNDA:4BEDROOM BEDROOM ALL ENSUITE TOWNHOUSE ON...
",Jubilee Real Estate,"
KSh 70,000,000
"
1109,"
4 bedroom townhouse for sale in Karen
","

Karen, Langata

",-,"
4
","








4

","
Newly Built 4 Bedroom Villas for sale in Karen
",Sky Limits Ventures,"
KSh 65,000,000
"
1110,"
3 bedroom apartment for sale in Parklands
","

Parklands, Westlands

","
2500 ft²
","
3
","








4

","
3bedroom Apartment
",SXERP REAL ESTATE,"
KSh 15,500,000
"
1111,"
0.6 ac residential land for sale in Spring Valley
","

Spring Valley, Westlands

",-,-,-,"
For sale: 1/2 acre on Spring Valley road, red s...
",First Villas,"
KSh 85,000,000
"
1112,"
4 bedroom apartment for sale in General Mathenge
","

General Mathenge, General Mathenge, Westlands

",-,"
4
","








5

","
4 Bedroom duplex apartment For Sale in General...
",Sky Limits Ventures,"
KSh 52,000,000
"
1113,"
3 bedroom apartment for sale in Parklands
","

Parklands, Westlands

",-,"
3
",-,"
3 bedroom apartment for sale in Parklands
",Dunhill Consulting Limited,"
KSh 20,000,000
"
1114,"
3 bedroom apartment for sale in Thika Road
","

Thika Road, Thika Road

",-,"
3
",-,"
3 Bedroom Apartment for sale
",Miamu Properties Limited,"
KSh 8,650,000
"
1115,"
2 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
160 m²
","
2
","








2

","
2 bedroom apartment for sale in Kileleshwa (Ken...
",Pam Golding Properties,"
KSh 16,500,000
"
1116,"
3 bedroom apartment for sale in Imara Daima
","

Imara Daima, Imara Daima, Embakasi

",-,"
3
 ","








2

","
THREE-BEDROOM APARTMENT FOR SALE IN IMARA DAIMA
",Mahalo Properties Limited,"
KSh 7,000,000
"
1117,"
3 bedroom apartment for sale in General Mathenge
","

General Mathenge, Westlands

",-,"
3
","








3

","
Audacious Newly built 2bedroom apartment for re...
",Canaan Properties,"
KSh 26,000,000
"
1118,"
1 bedroom apartment for sale in Kileleshwa
","

Kangundo Rd, Kileleshwa, Dagoretti North

","
51 m²
","
1
","








1

","
1 Bedroom and Studio Apartments for Sale in Kil...
",Sky Limits Ventures,"
KSh 5,300,000
"
1119,"
5 bedroom townhouse for sale in Riara Road
","

Riara Road, Dagoretti North

",-,"
5
","








5

","
Executive 5 bedroom townhouse all ensuite with...
",Wilnas Property Ltd,"
KSh 50,000,000
"
1120,"
3 bedroom apartment for sale in Lavington
","

Othaya Road, Lavington, Dagoretti North

","
179 m²
","
3
","








3

","
Elegant 3 Bedroom Apartment All Ensuite +DSQ;Si...
",Peech Limited,"
KSh 17,500,000
"
1121,"
5 bedroom house for sale in Karen
","

55, Mwitu Road, Karen, Langata

","
2024 m²
","
5
","








4

","
VACATION LIVING /PRIVATE LIFE
",Twinrocks Property Managers,"
KSh 72,000,000
"
1122,"
2 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
2
","








3

","
Newly Done! Kileleshwa Two Bedroom Apartment Fo...
",Geoscape Global Limited,"
KSh 15,000,000
"
1123,"
2 bedroom apartment for sale in Pangani
","

Fair View Rd, Pangani, Starehe

","
69 m²
","
2
","








2

","
Oasis Apartments Pangani by Pramukh Developers...
",Pramukh Developers Limited,"
KSh 7,700,000
"
1124,"
Commercial land for sale in Kasarani Area
","

Kasarani Area, Kasarani

",-,-,-,"
Prime Commercial 1/4 acre for sale in Kiamumbi,...
",PMC Estates Limited,"
KSh 20,000,000
"
1125,"
1 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
1
","








1

","
SIAYA PARK APARTMENT FOR SALE
",Golden Oak Properties & Developers,"
KSh 9,000,000
"
1126,"
5 bedroom villa for sale in Kiambu Road
","

mushroom gardens, Kiambu Road, Kiambu Road

",-,"
5
","








5

","
LUXURY 5 BEDROOM VILLA FOR SALE ALONG KIAMBU RO...
",Villawatch Limited,"
KSh 88,000,000
"
1127,"
Studio apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
0
","








1

","
STUDIO APARTMENT FOR SALE IN KILIMANI 3M
",Absolute Estate Agents,"
KSh 3,000,000
"
1128,"
3 bedroom apartment for sale in Kiambu Road
","

Kiambu Road, Kiambu Road

",-,"
3
","








2

","
3 Bedroom Master Ensuite Apartment for Sale - K...
",Afrique Properties Limited,"
KSh 7,500,000
"
1129,"
3 bedroom apartment for sale in Runda
","

Runda, Westlands

",-,"
3
","








4

","
3 Bedroom Apartment Riverbank
",Centum Real Estate,"
KSh 26,500,000
"
1130,"
3 bedroom apartment for sale in Kilimani
","

Kilimani, Kilimani, Dagoretti North

","
213 m²
","
3
","








4

","
LIMITED OFFER - 3BR ALL ENSUITE PLUS DSQ
",Balis Properties,"
KSh 16,500,000
"
1131,"
4 bedroom townhouse for sale in Westlands Area
","

Westlands Area, Westlands

",-,"
4
","








4

","
Westlands, Peponi Road, 4 Bedroom Villa – FOR S...
",FAPCL Group,"
KSh 85,000,000
"
1132,"
3 bedroom apartment for sale in Kileleshwa
","

Vihiga road, Kileleshwa, Dagoretti North

","
201 m²
","
3
","








4

","
MODERN 3 BEDROOM ALL ENSUITE FOR SALE IN KILELE...
",Abode Realty,"
KSh 16,900,000
"
1133,"
3 bedroom apartment for sale in Kileleshwa
","

Nyeri Road, Kileleshwa, Dagoretti North

","
2542 ft²
","
3
","








4

","
3 Bedroom Ensuite Apartment for Sale in Kileles...
",Hayer One Group,"
KSh 33,681,500
"
1134,"
0.8 ac commercial land for sale in Lavington
","

Lavington, Dagoretti North

",-,-,-,"
0.8 Acres prime flat land connected to a sewer
",Pam Golding Properties,"
KSh 150,000,000
"
1135,"
1 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

","
50 m²
","
1
","








1

","
spacious studios for sale in kilimani
",Kenya Classic Homes,"
KSh 4,000,000
"
1136,"
2 bedroom apartment for sale in Kilimani
","

Dennis Pritt, Kilimani, Dagoretti North

","
100 m²
","
2
","








2

","
Denis Gardens by Ever Forgarden Company Limited...
",Ever Forgarden Company Limited,"
KSh 8,200,000
"
1137,"
4 bedroom townhouse for sale in Lavington
","

Lavington, Dagoretti North

",-,"
4
","








4

","
4 BDRM TOWNHOUSE IN LAVINGTON
",Lighthouse Homes Limited,"
KSh 50,000,000
"
1138,"
4 bedroom townhouse for sale in Karen
","

off Kare/Langata Junction, Karen, Langata

",-,"
4
","








4

","
Spacious 4 bedrooms Town House+DSQ
 ",Peech Limited,"
KSh 65,000,000
"
1139,"
3 bedroom apartment for sale in Kitisuru
","

Kitisuru, Westlands

","
1256 ft²
","
3
","








2

","
Apartment for Sale in Kitisuru- Kirawa Road
",Tysons Limited,"
KSh 13,950,000
"
1140,"
4 bedroom townhouse for sale in Mombasa Road
","

Mombasa Road, Mombasa Road

",-,"
4
","








3

","
4 Bedroom Townhouse at Sabaki Estate, Mombasa R...
",Afrique Properties Limited,"
KSh 14,000,000
"
1141,"
4 bedroom house for sale in Kiambu Road
","

Kiambu Road, Kiambu Road, Kiambu Road

",-,"
4
 ","








4

","
4 Bedroom All Ensuite plus DSQ Mansion, Kiambu...
",Afrique Properties Limited,"
KSh 36,000,000
"
1142,"
3 bedroom apartment for sale in Kilimani
","

kilimani, Kilimani, Dagoretti North

","
165 m²
","
3
","








4

","
MODERN 3 BEDROOMS APARTMENT FOR SALE IN KILIMAN...
",Abode Realty,"
KSh 12,800,000
"
1143,"
Land for sale in Runda
","

Runda, Westlands

",-,-,-,"
New Runda, Residential Land
",FAPCL Group,"
KSh 40,000,000
"
1144,"
0.85 ac land for sale in Lavington
","

LOYANGALANI, Lavington, Dagoretti North

",-,-,-,"
PRIME REDEVELOPMENT LAND FOR SALE IN LAVINGTON...
",Azizi Realtors,"
KSh 150,000,000
"
1145,"
2024 m² residential land for sale in North Muthaiga
","

Muthaiga North, North Muthaiga, Muthaiga

","
2024 m²
",-,-,"
0.5 Acre Prime Plot For Sale in Muthaiga North
",Simkar Group Limited,"
KSh 50,000,000
"
1146,"
Furnished 1 bedroom apartment for sale in Riverside
","

Riverside Drive, Riverside, Westlands

",-,"
1
",-,"
Divine Residences By CityBlue
",VAAL Real Estate,"
KSh 16,300,000
"
1147,"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

","
70 m²
","
2
","








2

","
Affordable 2 bedroom for sale
",Round The Clock Homes,"
KSh 6,500,000
"
1148,"
5 bedroom house for sale in Westlands Area
","

Westlands Area, Westlands

","
2756 ft²
","
5
","








3

","
77 Estate Maisonette- Westlands
",Tysons Limited,"
KSh 36,000,000
"
1149,"
2 bedroom apartment for sale in Nyari
","

Enaki Town, Nyari, Westlands

",-,"
2
","








3

","
2 Bedroom Apartment
",HassConsult,"
KSh 17,400,000
"
1150,"
5 bedroom villa for sale in Garden Estate
","

Garden Estate, Roysambu

",-,"
5
","








5

","
Newly Built 5 Bedroom House To Let In Garden Es...
",Mimshakh Dunamis Global Ltd,"
KSh 80,000,000
"
1151,"
1 bedroom apartment for sale in Nyari
","

Enaki Town, Nyari, Westlands

",-,"
1
","








1

","
1 Bedroom Apartment
",HassConsult,"
KSh 11,400,000
"
1152,"
3 bedroom house for sale in Parklands
","

 3rd Parklands, Nairobi, Parklands, Westlands

",-,"
3
","








2

","
3 Bedroom Maisonette For Sale In A Gated Compou...
",Coral Property International Ltd,"
KSh 17,500,000
"
1153,"
3 bedroom apartment for sale in Kilimani
","

Elgeyo Marakwet, Kilimani, Dagoretti North

","
165 m²
","
3
","








4

","
MODERN 3 BEDROOM APARTMENT FOR SALE IN KILIMANI
",Abode Realty,"
KSh 17,500,000
"
1154,"
4 bedroom townhouse for sale in Lavington
","

Lavington, Dagoretti North

",-,"
4
",-,"
4 Bedrooms Townhouse For sale Lavington
",Naftal Properties,"
KSh 37,000,000
"
1155,"
1 bedroom apartment for sale in Parklands
","

Parklands, Westlands

",-,"
1
","








1

","
1&2 bedroom Apartments for sale in Westlands
",Crystal Valuers LTD,"
KSh 9,200,000
"
1156,"
5 bedroom house for sale in Nairobi Central
","

Lavington, Nairobi Central, Starehe

","
100 m²
","
5
","








5

","
Lavington 5 bedroom house
",Ngossheny Houses Enterprises,"
KSh 70,000,000
"
1157,"
1.95 ac residential land for sale in Kyuna
","

Kyuna, Westlands

","
1 ac
",-,-,"
1.95 Acres Of Land For Sale With A Fully Furni...
",Nuru Breeze Homes Realty Limited,"
KSh 300,000,000
"
1158,"
 3 bedroom apartment for sale in Kilimani
","

00, Kilimani road, Kilimani, Dagoretti North

",-,"
3
","








2

","
3 BEDROOMS+SQ SALE 23M KILIMANI
",Sixty SpaceCastles,"
KSh 23,000,000
"
1159,"
6 bedroom villa for sale in Nyari
","

Nyari, Nyari, Westlands

",-,"
6
","








7

","
Unfurnished Prestigious Ambassadorial House For...
",Sky Limits Ventures,"
KSh 200,000,000
"
1160,"
4 bedroom house for sale in Kiambu Road
","

Summerfield, Kiambu Road, Kiambu Road

",-,"
4
","








4

","
4Br House For Sale in Summer Field Estate Alon...
",Apogee Realty Homes,"
KSh 36,000,000
"
1161,"
Residential land for sale in Runda
","

Runda Riviera, Runda, Westlands

",-,-,-,"
0.75-Acre Plot For Sale in Runda Riviera
",Simkar Group Limited,"
KSh 60,000,000
"
1162,"
4 bedroom house for sale in Spring Valley
","

Spring Valley, Westlands

","
2711 m²
","
4
","








3

","
Spring Valley 0.67 acre land with an old house...
",First Villas,"
KSh 100,000,000
"
1163,"
3 bedroom apartment for sale in Parklands
","

City Park Drive, Parklands, Westlands

","
185 m²
","
3
","








4

","
3 bedrooms all ensuite with dsq apartment for s...
",Abode Realty,"
KSh 15,000,000
"
1164,"
Furnished 1 bedroom apartment for sale in Upper Hill
","

4th Ngong Avenue, Bishops Road, Upper Hill, Langata

","
51 m²
","
1
","








2

","
Luxury 1 Bedroom Apartment For Sale in Upperhil...
",Olympia Gold Real Estate,"
KSh 19,200,000
"
1165,"
2.84 ac land for sale in Karen
","

Karen, Langata

","
2 ac
",-,-,"
2.84 Acres for sale in Karen
",Newpoint Properties,"
KSh 260,000,000
"
1166,"
4 bedroom house for sale in Mombasa Road
","

 Mombasa Road, Mombasa Road

",-,"
4
","








4

","
4 Bedroom House for Sale in Imara Daima
",Ring Kenya Ltd,"
KSh 20,000,000
"
1167,"
2 bedroom apartment for sale in Parklands
","

Parklands, Westlands

",-,"
2
","








3

","
2 bedroom apartment for sale in Parklands (Keny...
",Pam Golding Properties,"
KSh 18,000,000
"
1168,"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Kileleshwa, Dagoretti North

","
205 m²
","
3
","








4

","
3BR ALL ENSUITE PLUS DSQ
",Balis Properties,"
KSh 18,900,000
"
1169,"
4 bedroom house for sale in Thika Road
","

Mirema, Kasarani, Thika Road, Thika Road

","
130 m²
","
4
","








4

","
3Bedroom with a Dsq Maisonette for sale in Mire...
",Kijani Homes Realtors,"
KSh 15,000,000
"
1170,"
5 bedroom house for sale in Lavington
","

Lavington, Dagoretti North

",-,"
5
","








4

","
5 Bedroom Townhouse for Sale in Lavington
",FAPCL Group,"
KSh 47,500,000
"
1171,"
2 bedroom apartment for sale in Ngong Road
","

Kilimani, Ngong Road, Ngong Road

","
116 m²
","
2
","








3

","
A brand new 2bedroom (all en suite) plus a cloa...
",Yellow Market,"
KSh 12,000,000
"
1172,"
1 bedroom apartment for sale in Ngong Road
","

Ngong Road, Ngong Road

",-,"
1
",-,"
1bedroom apartment on sale on Ngong road
",Canaan Properties,"
KSh 6,000,000
"
1173,"
5 bedroom house for sale in Karen
","

Karen, Langata

",-,"
5
","








5

","
5 bedroom house for sale in Karen
",Newpoint Properties,"
KSh 110,000,000
"
1174,"
0.93 ac commercial property for sale in Industrial Area
","

Industrial Area, Embakasi

",-,-,-,"
Two Adjacent Plots For Sale Off Enterprise Road...
",Coral Property International Ltd,"
KSh 220,000,000
"
1175,"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

","
90 m²
","
2
","








2

","
EXQUISTE 2 NAD 3 BEDS 4 SALE
",Round The Clock Homes,"
KSh 7,000,000
"
1176,"
2 bedroom apartment for sale in Lavington
","

Mbaazi avenue, Lavington, Dagoretti North

","
85 m²
","
2
","








2

","
2 bedroom apartment master en-suite for sale in...
",Crystal Valuers LTD,"
KSh 9,800,000
"
1177,"
4 bedroom house for sale in Lavington
","

Lavington, Lavington, Dagoretti North

","
4047 m²
","
4
",-,"
4 BED 2HOUSES FOR SALE IN LAVINGTON
",Splendour Real Estate,"
KSh 200,000,000
"
1178,"
3 bedroom apartment for sale in Kileleshwa
","

Othaya Road, Kileleshwa, Dagoretti North

","
120 m²
","
3
","








2

","
3 Bedroom Apartments For Sale in Kileleshwa
",Apogee Realty Homes,"
KSh 10,500,000
"
1179,"
10359.95 m² commercial land for sale in Industrial Area
","

Industrial Area, Embakasi

","
10359 m²
",-,-,"
Industrial Land For Sale Off Enterprise Road, N...
",Coral Property International Ltd,"
KSh 100,000,000
"
1180,"
3 bedroom apartment for sale in Mombasa Road
","

Mombasa Road, Mombasa Road

","
103 m²
","
3
","








2

","
2 & 3 Bed Apts for sale MOMBASA ROAD
",LYNDUM ENTERPRISES,"
KSh 8,000,000
"
1181,"
Studio apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
0
","








1

","
Studio Apartments for sale in Kilimani
",Ring Kenya Ltd,"
KSh 3,800,000
"
1182,"
4 bedroom townhouse for sale in Lavington
","

Lavington, Dagoretti North

",-,"
4
","








4

","
A CHARMING ARCHITECTURAL ELEMENT
",Olympia Gold Real Estate,"
KSh 68,000,000
"
1183,"
4 bedroom townhouse for sale in State House
","

Dennis Pritt/State House Road, State House, Dagoretti North

",-,"
4
","








5

","
TOWNHOUSE FOR SALE -STATE HOUSE ROAD/DENNIS PRI...
",Regent Management Ltd,"
KSh 75,000,000
"
1184,"
6 bedroom house for sale in Lavington
","

Manyani East, Lavington, Dagoretti North

",-,"
6
","








5

","
6 BEDROOM HOUSE FOR SALE IN LAVINGTON, NAIROB
",Knight Frank Kenya,"
KSh 200,000,000
"
1185,"
3 bedroom apartment for sale in Thika Road
","

Garden City, Thika Road, Thika Road

","
1200 ft²
","
3
","








2

","
Stylish 3 bedroom apartments for sale
",Property Point Urban Kenya,"
KSh 14,800,000
"
1186,"
3.7 ac land for sale in Karen
","

Karen, Langata

","
3 ac
 ",-,-,"
3.7 acres of land in Karen for 325,000,000.00
",Jusa Homes Limited,"
KSh 325,000,000
"
1187,"
1 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
1
","








1

","
1 Bedroom House for Sale In Kilimani with a Stu...
",Ring Kenya Ltd,"
KSh 7,000,000
"
1188,"
2 bedroom apartment for sale in Mombasa Road
","

Cady Road, Mombasa Road, Mombasa Road

","
76 m²
","
2
",-,"
2 Bedroom apartments for sale in Mombasa Road
",VAAL Real Estate,"
KSh 4,900,000
"
1189,"
2 bedroom apartment for sale in Mountain View
","

Mountain View, Westlands

",-,"
2
","








2

","
2 BDRM FOR SALE
",Lighthouse Homes Limited,"
KSh 7,800,000
"
1190,"
Land for sale in Kitisuru
","

Kitisuru, Westlands

",-,-,-,"
1/4 PRIME PLOT FOR SALE IN KIAMBU - MWIMUTO NEW...
",Trisums Investments Company Ltd,"
KSh 19,000,000
"
1191,"
 Commercial land for sale in Rhapta Road
","

Church Road, Rhapta Road, Westlands

",-,-,-,"
1 Acre Plot For Sale In Westlands
",Pinnacle Valuers,"
KSh 360,000,000
"
1192,"
Commercial property for sale in Hurlingham
","

Argwing Kodhek road, Hurlingham, Dagoretti North

",-,-,-,"
Hotel for Sale
",Lyons Properties,"
KSh 675,000,000
"
1193,"
2 bedroom apartment for sale in Lavington
","

Kabasirini Road, Lavington, Dagoretti North

","
1700 ft²
","
2
","








3

","
New 2 Bedrooms + Sq 1700Sqft Ksh. 10M Ready For...
",Sir Francis Marketing & Consultants Ltd,"
KSh 10,000,000
"
1194,"
5 ac land for sale in Lower Kabete
","

Lower Kabete, Lower Kabete, Westlands

","
5 ac
",-,-,"
FIVE-ACRE PARCEL OF LAND FOR SALE IN LOWER KABA...
",Mahalo Properties Limited,"
KSh 520,000,000
"
1195,"
3 bedroom house for sale in Kiambu Road
","

Kiambu Road, Five Star Paradise, Kiambu Road, Kiambu Road

",-,"
3
","








3

","
3, 4 & 5 Bedroom Villas For Sale in a Gated Com...
",Coral Property International Ltd,"
KSh 27,350,000
"
1196,"
3 bedroom house for sale in Kasarani Area
","

Kasarani Area, Kasarani

",-,"
3
",-,"
Two bedroom houses in Kiamumbi Estate, Kamiti R...
",PMC Estates Limited,"
KSh 130,000,000
"
1197,"
3 bedroom apartment for sale in Runda
","

Runda, Westlands

",-,"
3
","








3

","
,3 Bedroomed apartment for sale in Runda
",Azizi Realtors,"
KSh 9,600,000
"
1198,"
1 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
 1
","








1

","
GATUNDU HEIGHTS APARTMENT FOR SALE
",Golden Oak Properties & Developers,"
KSh 4,000,000
"
