property_title,property_location,property_area,property_bedrooms,property_bathrooms,property_description,property_agent,property_price
"
Land for sale in Lavington
","

Lavington Green, Lavington, Dagoretti North

",-,-,-,"
Prime 0.8 acre land rectangular shape on sewer...
",Lavington Property Management,"
KSh 165,000,000
"
"
2 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
2
","








3

","
2 BR Apartment for sale
",Lyons Properties,"
KSh 18,000,000
"
"
Furnished 1 bedroom apartment for sale in Upper Hill
","

Upper Hill, Upper Hill, Langata

",-,"
1
","








1

","
Furnished 1 bedroom apartment for sale in Upper...
",Sky Limits Ventures,"
KSh 10,100,000
"
"
Furnished 3 bedroom apartment for sale in Kilimani
","

Agwings Kodhek Road, Kilimani, Dagoretti North

","
250 m²
","
3
","








5

","
THREE BEDROOMS MODERN APARTMENT
",Calmillers Holding Ltd,"
KSh 32,000,000
"
"
Office for sale in Westlands Area
","

Westlands Area, Westlands

",-,-,-,"
Westery Plaza
 ",Tysons Limited,"
KSh 10,500
"
"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
3
","








4

","
Kileleshwa 3bedroom apartment plus Dsq for sale
",Canaan Properties,"
KSh 21,500,000
"
"
1 bedroom apartment for sale in Rhapta Road
","

Rhapta Road, Westlands

",-,"
1
","








2

","
Cozy apartments on Rhapta Road, Westlands
",Own Properties Ltd,"
KSh 9,200,000
"
"
2 bedroom apartment for sale in Lavington
","

Lavington, Lavington, Dagoretti North

",-,"
2
","








2

","
A new 2 Bed apartment
",Keensell Ventures LTD,"
KSh 13,900,000
"
"
6 bedroom house for sale in Lavington
","

Lavington, Dagoretti North

",-,"
6
","








5

","
6 Bedroom Townhouse For Sale & Rent In Lavingto...
",Coral Property International Ltd,"
KSh 82,000,000
"
"
6 bedroom house for sale in Runda
","

Runda, Westlands

",-,"
6
","








6

","
Runda house for sale , 6 bedroom with a family...
",Royal Properties Market Limited,"
KSh 90,000,000
"
"
4 bedroom house for sale in Loresho
","

Loresho Ridge, Loresho, Westlands

","
245 m²
","
4
","








5

","
Loresho Ridge: 4 bedroom townhouse for sale in...
",Westlands Avenue Consult,"
KSh 45,000,000
"
"
3 bedroom apartment for sale in Riara Road
","

Riara Lane, Riara Road, Dagoretti North

",-,"
3
","








3

","
Spacious 4 Bedroom (all ensuite) 7th Floor Apar...
",Shingles Kenya Limited,"
KSh 14,000,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
3
","








4

","
Kileleshwa: 3 bedroom apartment with an sq for...
",Royal Properties Market Limited,"
KSh 18,000,000
"
"
10 bedroom apartment for sale in Githurai
","

Mwihoko Road, Githurai, Roysambu

",-,"
10
",-,"
Investment property for sale in Githurai 45
",Masterways Real Estate,"
KSh 59,999,999
"
"
Furnished 3 bedroom apartment for sale in Hurlingham
","

Rivera Towers, Hurlingham, Dagoretti North

",-,"
3
","








3

","
3 Bedroom Apartment For Sale In Hurlingham
",Coral Property International Ltd,"
KSh 27,000,000
"
"
3 bedroom apartment for sale in Westlands Area
","

School lane, Westlands Area, Westlands

",-,"
3
","








2

","
A Spacious and Bright 3 Bedroom Apartment
",Pam Golding Properties,"
KSh 16,000,000
"
"
5 bedroom townhouse for sale in Kyuna
","

Kyuna, Westlands

",-,"
5
",-,"
KYUNA CASILDA VILLAS
",Halifax Estate Agency,"
KSh 95,000,000
"
"
3 bedroom apartment for sale in Makadara
","

Makadara, Makadara

",-,"
3
","








3

","
3 bedroom for sale
",Citiscape Valuers & Estate Agents Ltd,"
KSh 12,450,000
"
"
5 bedroom house for sale in Karen
","

Karen, Langata

",-,"
5
","








 3

","
4 BR House in Karen
",Leilach Properties,"
KSh 75,000,000
"
"
2 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
95 m²
","
2
","








2

","
2 Bedroom Apartment for Sale in Kileleshwa
",Ring Kenya Ltd,"
KSh 11,000,000
"
"
4 bedroom house for sale in Karen
","

karen, Karen, Langata

",-,"
4
","








4

","
4 Bedroom House For Sale In Karen
",Royal Properties Market Limited,"
KSh 65,000,000
"
"
5 bedroom house for sale in Karen
","

Pepo Lane, Karen, Langata

","
446 m²
","
5
","








6

","
Superb quality home for sale · Gated Compound
",Peponi & Co Real Estate,"
KSh 90,000,000
"
"
2 bedroom apartment for sale in Thika Road
","

Garden City, Thika Road, Thika Road

","
980 ft²
","
2
","








2

","
Stylish 2 bedroom apartments for sale
",Property Point Urban Kenya,"
KSh 12,900,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
3
","








3

","
Silver Oak Luxury Apartments for sale
",Olympia Gold Real Estate,"
KSh 18,500,000
"
"
2 bedroom apartment for sale in Uthiru/Ruthimitu
","

Four Points Apartments, Uthiru/Ruthimitu, Dagoretti South

","
92 m²
","
2
","








2

","
Four Points Apartments – 2 & 3 bedroom apartmen...
",Westlands Avenue Consult,"
KSh 7,500,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Othaya Rd, Kileleshwa, Dagoretti North

","
196 m²
","
3
","








4

","
3 & 4 Bed en-suite plus DSQ at Golden Century a...
",Prima Properties Ke,"
KSh 20,000,000
"
"
2 bedroom apartment for sale in Westlands Area
","

Nairobi, Westlands Area, Westlands

",-,"
2
",-,"
Special Offers On 2 & 3 Bedroom Apartments On P...
",Coral Property International Ltd,"
KSh 14,000,000
"
"
4 bedroom apartment for sale in Valley Arcade
","

Valley Arcade, Dagoretti North

","
232 m²
","
4
","








6

","
Spacious 4 Bedrooms + Sq. All Ensuite
",Alphagate Real Estate,"
KSh 19,500,000
"
"
1 bedroom apartment for sale in Kileleshwa
","

Near Kasuku center, Kileleshwa, Dagoretti North

",-,"
1
","








1

","
An ultra-modern 1 bedroom apartment for Sale i...
",Yellow Market,"
KSh 7,500,000
"
"
7285 m² land for sale in Rhapta Road
","

Rhapta Road, Rhapta Road, Westlands

","
7285 m²
",-,-,"
1.8 acres vacant land for sale in Rhapta Road (...
",Pam Golding Properties,"
KSh 450,000,000
"
"
3 bedroom apartment for sale in Westlands Area
","

East Church Road, Westlands Area, Westlands

",-,"
3
","








3

","
3 bedroom apartment for sale in Westlands (Keny...
",Pam Golding Properties,"
KSh 18,500,000
"
"
18212 m² commercial land for sale in Embakasi Estate
","

Eastern Bypass Rd, Embakasi Estate, Embakasi

","
18212 m²
",-,-,"
4.5 Acres Prime Plot For Sale in Eastern Bypass
",Simkar Group Limited,"
KSh 202,500,000
"
"
2001 m² residential land for sale in North Muthaiga
","

Central Park Court, North Muthaiga, Muthaiga

","
2001 m²
",-,-,"
Half acre plot for sale in Muthaiga North
",Masterways Real Estate,"
KSh 55,000,000
"
"
0.5 ac commercial land for sale in Lavington
","

Riara Road, Lavington, Dagoretti North

",-,-,-,"
Quick Sale!! 0.5 Acre Plot off Riara Road for S...
",J.M McCarthy Properties Ltd,"
KSh 135,000,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Savannah Land Apartments, Kileleshwa, Dagoretti North

","
234 m²
","
3
","








4

","
Savannah Land Apartments – 3 bedroom apartment...
",Westlands Avenue Consult,"
KSh 23,500,000
"
"
3 bedroom apartment for sale in Imara Daima
","

Imara Daima, Embakasi

",-,"
3
",-,"
3 Bedroom Apartments – Imara Daima
",PMC Estates Limited,"
KSh 8,500,000
"
"
3 bedroom apartment for sale in Lavington
","

Lavington, Dagoretti North

","
125 m²
","
3
","








2

","
Forhome Apartments- Lavington
",Tysons Limited,"
KSh 11,500,000
"
"
4 bedroom apartment for sale in Kileleshwa
","

kileleshwa, kileleshwa, Kileleshwa, Dagoretti North

","
211 m²
","
4
","








4

","
affordable 4 bedroom all ensuite plus dsq for s...
",Round The Clock Homes,"
KSh 22,000,000
"
"
3 bedroom apartment for sale in Kilimani
","

Argwings Kodhek, Kilimani, Dagoretti North

",-,"
3
","








3

","
3bedroom Apartment in Argwings Kodhek Road - Hu...
",Mencia Management Ltd.,"
KSh 18,000,000
"
"
Commercial land for sale in Parklands
 ","

Parklands, Westlands

",-,-,-,"
PARKLANDS - VARIOUS PLOTS FOR SALE
",Zyve,"
P.O.A
"
"
0.5 ac land for sale in South B
","

Sare Road, South B, Langata

",-,-,-,"
1/2 Acre plot for sale in South B
",The HouSwitch Haven Ltd,"
KSh 180,000,000
"
"
5 bedroom townhouse for sale in Lavington
","

Lavington, Dagoretti North

",-,"
5
","








5

","
Brand new 5 bedroom townhouse with dsq for sale...
",Wilnas Property Ltd,"
KSh 70,000,000
"
"
3 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
3
","








3

","
Apartment on sale in Kilimani,Riara
",-,"
KSh 18,500,000
"
"
2833 m² residential land for sale in Lavington
","

Lavington, Dagoretti North

","
2833 m²
",-,-,"
Chalbi Drive Plot- Lavington
",-,"
KSh 150,000,000
"
"
3 bedroom apartment for sale in Kitisuru
","

Kitisuru, Westlands

","
1256 ft²
","
3
","








2

","
Apartment for Sale in Kitisuru- Kirawa Road
",-,"
KSh 13,950,000
"
"
0.5 ac land for sale in Parklands
","

4th parklands, Parklands, Westlands

",-,-,-,"
Development land for sale
",SXERP REAL ESTATE,"
KSh 190,000,000
"
"
1 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
1
","








1

","
Studio , 1 , 2 Bedroom Apartment for Sale
",J.M McCarthy Properties Ltd,"
KSh 7,600,000
"
"
1 bedroom apartment for sale in Karen
","

Kikuyu road, Karen, Langata

","
97 m²
","
1
","








1

","
1bed Apartment for sale
",Property Point Urban Kenya,"
KSh 6,500,000
"
"
4 bedroom apartment for sale in Kilimani
","

Othaya RD, Kilimani, Dagoretti North

",-,"
4
","








5

","
4 bedrooms apartments in Kilimani (257 SQM)
",Knitter Properties Kenya,"
KSh 23,000,000
"
"
1336 m² commercial land for sale in Ngara
","

Chambers Road, Ngara, Starehe

","
1336 m²
",-,-,"
0.33 Acre Land For Sale On Chambers Road, Ngara
",Coral Property International Ltd,"
KSh 150,000,000
"
"
4 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

","
2260 ft²
","
4
","








6

","
Luxurious 4 Bedrooms + Sq. All Ensuite
",Alphagate Real Estate,"
KSh 18,500,000
 "
"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
3
","








4

","
Stunning 3 bedroom plus sq for sale
",Best of Homes,"
KSh 16,000,000
"
"
3 bedroom apartment for sale in Lavington
","

Othaya rd, Lavington, Dagoretti North

","
200 m²
","
3
","








4

","
3 BEDROOM ALL ENSUITE PLUS DSQ FOR SALE IN LAVI...
",Abode Realty,"
KSh 18,900,000
"
"
3 bedroom apartment for sale in Lavington
","

Lavington, Dagoretti North

","
211 m²
","
3
","








5

","
luxurious 3 bedroom plus dsq for sale
",Round The Clock Homes,"
KSh 19,900,000
"
"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
2
","








3

","
Ultra-modern Apartment for Sale - Kilimani
",Realty Plus,"
KSh 15,500,000
"
"
3 bedroom apartment for sale in Brookside
","

School Lane, Brookside, Westlands

",-,"
3
","








3

","
3 Bedroom All En-Suite Apartment For Sale in Br...
",Simkar Group Limited,"
KSh 26,000,000
"
"
Commercial land for sale in Industrial Area
","

Lokitaung Rd, Industrial Area, Embakasi

",-,-,-,"
0.173-Acre Plot For Sale in Industrial Area
",Simkar Group Limited,"
KSh 32,000,000
"
"
3 bedroom apartment for sale in Imara Daima
","

Imara Daima, Embakasi

",-,"
3
",-,"
3 Bedroom Plus Dsq For Sale - Imara Gardens
",PMC Estates Limited,"
KSh 11,500,000
"
"
3 bedroom apartment for sale in Nairobi West
","

Nairobi West, Langata

",-,"
3
","








2

","
3 Bedroom Apartment for Sale in Nairobi West
",Ring Kenya Ltd,"
KSh 11,000,000
"
"
3 bedroom apartment for sale in Riverside
","

Riverside Pearl Residence, Riverside Grove, Riverside, Westlands

",-,"
3
","








3

","
3 Bedroom Apartment For Sale In Riverside Drive
",Coral Property International Ltd,"
KSh 44,900,000
"
"
Commercial land for sale in Kasarani Area
","

Kasarani Area, Kasarani

",-,-,-,"
Prime Commercial 1/4 acre for sale in Kiamumbi,...
",PMC Estates Limited,"
KSh 20,000,000
"
"
1200 ft² office for sale in Kilimani
","

Kamirembe Place, Kilimani, Dagoretti North

","
1200 ft²
",-,-,"
Office for Sale in Kamirembe Place, Kilimani
",Crystal Valuers LTD,"
KSh 15,000,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
177 m²
","
3
","








4

","
3 Bedroom All En-suite Plus DSQ For Sale in Kil...
",Nuru Breeze Homes Realty Limited,"
KSh 16,500,000
"
"
3 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
3
",-,"
Luxurious 3 Bedroom + Dsq Apartments for Sale ;...
",Lyons Properties,"
KSh 16,000,000
"
"
4 bedroom apartment for sale in Lavington
","

Lavington, Dagoretti North

",-,"
4
","








5

","
4 bedroom apartment penthouse for sale in Lavi...
",Canaan Properties,"
KSh 43,000,000
"
"
1012 m² residential land for sale in Kawangware
","

Kawangware, Dagoretti North

","
1012 m²
",-,-,"
1/8th acre plot at Kawangware with borehole
",Crystal Valuers LTD,"
KSh 25,000,000
"
"
0.5 ac land for sale in Lavington
","

Lavington, Dagoretti North

",-,-,-,"
land for own-house development
",Kenya Classic Homes,"
KSh 100,000,000
"
"
3 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
3
","








3

","
Ready 3BR Apartments For Sale / Rent
",Alphagate Real Estate,"
KSh 14,500,000
"
"
3 bedroom apartment for sale in Lavington
","

Near Valley Arcade, Lavington, Dagoretti North

",-,"
3
","








3

","
A luxurious 3 bedrooms, two en suite + Dsq apar...
",Yellow Market,"
KSh 10,000,000
"
"
2 bedroom apartment for sale in Riruta
","

Aspire Heights, Riruta, Dagoretti South

","
1089 ft²
","
2
","








2

","
Aspire Heights - 2 & 3 bedroom apartments for s...
",Westlands Avenue Consult,"
KSh 6,499,997
"
"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
320 m²
","
3
","








4

","
3 BEDROOMS ALL ENSUITE + DSQ
",Kenya Classic Homes,"
KSh 30,000,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Kileleshwa, Dagoretti North

","
207 m²
","
3
","








4

","
3 Bedroom Apartment for Sale in Kileleshwa
",Sky Limits Ventures,"
KSh 19,000,000
"
"
2 bedroom apartment for sale in Parklands
","

1St Parklands, Parklands, Westlands

",-,"
2
",-,"
2 bedroom apartment for sale in Parklands
",Dunhill Consulting Limited,"
KSh 18,000,000
"
"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Kilimani, Dagoretti North

","
100 m²
","
2
","








2

","
LOVELY 2BEDROOM APARTMENTS
",Balis Properties,"
KSh 9,500,000
"
"
4 bedroom apartment for sale in Lavington
","

Lavington, Dagoretti North

",-,"
4
","








4

","
Lavington 4 Bedroom Penthouse Duplex Apartment...
",J.M McCarthy Properties Ltd,"
KSh 41,000,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Kileleshwa, Dagoretti North

","
2024 m²
","
3
","








3

","
3 Bedroom Master En-suite Apartments For Sale i...
",Simkar Group Limited,"
KSh 16,500,000
"
"
1 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
1
","








1

","
1 bedroom apartment for sale along Ngong road
",Crystal Valuers LTD,"
KSh 6,700,000
"
"
Commercial land for sale in Kasarani Area
","

Kasarani Area, Kasarani

",-,-,-,"
Commercial land for sale
",Nickville Shelters,"
KSh 15,000,000
 "
"
4 bedroom apartment for sale in Riverside
","

Riverside, Westlands

",-,"
4
","








4

","
4 BEDROOM PENTHOUSE FOR SALE IN RIVERSIDE
",Knight Frank Kenya,"
KSh 60,000,000
"
"
Residential land for sale in Utawala
","

Eastern by pass, Utawala, Embakasi

",-,-,-,"
Utawala- Eastern by Pass
 ",Landmark Realtors Ltd,"
KSh 8,600,000
"
"
3 bedroom apartment for sale in Lavington
","

Lavington, Dagoretti North

",-,"
3
","








3

","
Grove Park
",Rescom Ventures Ltd,"
KSh 13,500,000
"
"
3 bedroom apartment for sale in Rhapta Road
","

Rhapta Road, Westlands

",-,"
3
","








2

","
Apartment for sale in Westlands
",Cura International,"
KSh 25,000,000
"
"
2 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
170 m²
","
2
","








3

","
Exclusive 2 Bedroom All Ensuite For Sale in Kil...
",Nuru Breeze Homes Realty Limited,"
KSh 15,000,000
"
"
3 bedroom apartment for sale in Lavington
","

Lavington, Dagoretti North

",-,"
3
","








3

","
Tasteful 3 Bedroom Apartment For Sale - Lavingt...
",Realty Plus,"
KSh 21,000,000
"
"
0.781 ac land for sale in Lavington
","

Convent Road, Lavington, Dagoretti North

",-,-,-,"
0.781-Acre Plot For Sale in Lavington - Conven...
",Simkar Group Limited,"
KSh 160,000,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Othaya road, Kileleshwa, Dagoretti North

",-,"
3
","








3

","
3-4 Bedroom Apartments at Kileleshwa
",Kleber Limited,"
KSh 19,000,000
"
"
1 bedroom apartment for sale in Kileleshwa
","

345/456, Siaya rd, Kileleshwa, Dagoretti North

",-,"
1
","








1

","
1bedroom apartment
",Didenco Investments,"
KSh 9,000,000
"
"
1 bedroom apartment for sale in Runda
","

Runda, Westlands

",-,"
1
","








1

","
1 Bed Apartment Riverbank
",Centum Real Estate,"
KSh 14,000,000
"
"
3 bedroom apartment for sale in Rhapta Road
","

Rhapta Road, Westlands

","
170 m²
","
3
","








3

","
 3 Bedroom Apartment For Sale in Westlands
",Nuru Breeze Homes Realty Limited,"
KSh 19,000,000
"
"
1.5 ac residential land for sale in Thome
","

Thome, Roysambu

","
1 ac
",-,-,"
Residential Land 1/2 acre For sale in Thome est...
",PMC Estates Limited,"
KSh 25,000,000
"
"
2 bedroom apartment for sale in Westlands Area
","

101w, Westlands, Westlands Road, Westlands Area, Westlands

","
1500 ft²
","
2
","








3

","
Prestigious two bedroom apartment situated in W...
",Ace Realtors Limited,"
KSh 21,500,000
"
"
3 bedroom apartment for sale in Lavington
","

Lavington, Dagoretti North

",-,"
3
","








3

","
Executive 3 bedroom apartment for sale.
",Wilnas Property Ltd,"
KSh 16,500,000
"
"
Residential land for sale in Runda
","

Runda Riviera, Runda, Westlands

",-,-,-,"
0.75-Acre Plot For Sale in Runda Riviera
",Simkar Group Limited,"
KSh 60,000,000
"
"
2 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
2
","








3

","
COZY AND LOVELY 2 BEDROOM APARTMENT WAITING FOR...
",Ricville Properties,"
KSh 18,174,000
"
"
Residential land for sale in Kyuna
","

Kyuna Crescent, Kyuna, Westlands

",-,-,-,"
1-Acre Plot For Sale in Kyuna Estate
",Simkar Group Limited,"
KSh 120,000,000
"
"
3 bedroom apartment for sale in Lavington
","

330/576, Riara rd, Lavington, Dagoretti North

",-,"
3
","








3

","
3 bedroom apartment
",Didenco Investments,"
KSh 21,000,000
"
"
3 bedroom apartment for sale in Parklands
","

Wambugu road, Parklands, Westlands

",-,"
3
","








3

","
3 Bedroom for Sale in Parklands
",Royal Gate properties Kenya,"
KSh 18,000,000
"
"
4 bedroom apartment for sale in Lavington
","

Lavington, Lavington, Dagoretti North

","
248 m²
","
4
","








5

","
LUXURIOUS DUPLEX 4BEDROOMS. 5BATHROOMS. 1DSQ
",Balis Properties,"
KSh 34,000,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Mandera road, Kileleshwa, Dagoretti North

",-,"
3
","








4

","
3 Bedroom + dsq For Sale in Kileleshwa
",Nicmar Properties,"
KSh 23,000,000
"
"
4 bedroom apartment for sale in Lavington
","

Hatheru Rd, Lavington, Dagoretti North

","
224 m²
","
4
","








5

","
Upscale 4 BR (all ensuite) + DSQ apartments fro...
",Prima Properties Ke,"
KSh 22,000,000
"
"
3 bedroom apartment for sale in Kilimani
","

Along Riara Road, Nairobi, Kilimani, Dagoretti North

","
2200 ft²
","
3
","








3

","
Three Bedroom Apartment For Sale Along Riara Ro...
",Coral Property International Ltd,"
KSh 20,000,000
"
"
Residential land for sale in Runda
","

Ruaka Road, Runda, Westlands

",-,-,-,"
0.5-Acre Plot For Sale in Runda - Ruaka Road
",Simkar Group Limited,"
KSh 53,000,000
"
"
Furnished 1 bedroom apartment for sale in Riverside
","

Riverside Lane, Riverside, Westlands

",-,"
1
","








1

","
1 Bedroom Hotel Apartment for sale in Riverside
",Royal Gate properties Kenya,"
KSh 15,000,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Othaya Road, Kileleshwa, Dagoretti North

","
230 m²
","
3
","








4

","
Three bedrooms plus detached servant quarter
",Calmillers Holding Ltd,"
KSh 20,000,000
"
"
2 bedroom apartment for sale in Lavington
","

Hatheru Road, Lavington, Dagoretti North

",-,"
2
","








2

","
2 Bedroom Apartment For Sale in Lavington
",Royal Gate properties Kenya,"
KSh 12,500,000
"
"
4 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
246 m²
","
4
","








6

","
Luxurious 4 Bedrooms + Dsq All Ensuite
",Alphagate Real Estate,"
KSh 25,000,000
"
"
5000 ft² land for sale in Naivasha Road
","

Kikuyu road, Naivasha Road, Dagoretti North

","
5000 ft²
",-,-,"
Land for sale along Kikuyu Road
",Washington Homes Kenya,"
KSh 7,200,000
"
"
1 bedroom apartment for sale in Waiyaki Way
","

Waiyaki Way, Westlands

",-,"
1
","








2

","
LUXURIOUS ALL-ENSUITE 1, 2 & 3 BEDROOM APARTMEN...
",Citiscape Valuers & Estate Agents Ltd,"
KSh 6,950,000
"
"
0.8 ac land for sale in Spring Valley
","

Spring Valley, Westlands

",-,-,-,"
Land for sale in Spring Valley
",Cura International,"
KSh 120,000,000
"
"
3 bedroom apartment for sale in Parklands
","

Parklands, Westlands

","
1800 ft²
","
3
","








3

","
A Spacious 3 Bedroom Apartment For Sale in Park...
",Coral Property International Ltd,"
KSh 19,000,000
"
"
9200 ft² warehouse for sale in Thika Road
","

Eastern Bypass, Thika Road, Thika Road

","
9200 ft²
",-,-,"
9200 ft² warehouse for sale in Thika Road
",Dunhill Consulting Limited,"
KSh 46,000,000
"
"
2 bedroom apartment for sale in Kilimani
","

Kindaruma Road, Kilimani, Dagoretti North

",-,"
2
","








1

","
HEARTLAND GARDEN
",Heartland Homes Nairobi Co. Limited,"
KSh 7,500,000
"
"
4 bedroom apartment for sale in Lavington
","

Lavington, Dagoretti North

",-,"
4
","








5

","
4 Bedroom Pent House For Sale
",Origin Homes,"
KSh 52,000,000
"
"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
2
",-,"
One bedroom plus servant Quarter for sale along...
",PMC Estates Limited,"
KSh 7,500,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Kileleshwa, Dagoretti North
 
","
120 m²
","
3
","








2

","
SOPHISTICATED 3BEDROOMS. 3BATHROOMS & VIEWS
",Balis Properties,"
KSh 10,500,000
"
"
Residential land for sale in Nairobi West
","

Nairobi West, Langata

",-,-,-,"
Redevelopment
",Halifax Estate Agency,"
KSh 100,000,000
"
"
4 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
4
",-,"
NEW & LUXURIOUS DEVELOPMENT OF 4 BEDROOM APARTM...
",A1 Properties Ltd,"
KSh 25,000,000
"
"
1 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Kileleshwa, Dagoretti North

","
48 m²
","
1
","








1

","
1 Bedroom Apartment for Sale in Kileleshwa Nair...
",Sky Limits Ventures,"
KSh 9,300,000
"
"
2 bedroom apartment for sale in Kileleshwa
","

Nairobi, Mandera Road, Kileleshwa, Dagoretti North

",-,"
2
","








2

","
1,2&3 Bedroom Apartment For Sale Mandera Road,...
",Coral Property International Ltd,"
KSh 16,000,000
"
"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
2
",-,"
Two Bedroom For Sale - Kilimani
",PMC Estates Limited,"
KSh 13,000,000
"
"
3 bedroom apartment for sale in Riverside
","

Riverside Drive, Riverside, Westlands

",-,"
3
","








3

","
3 Bedroom Apartment For Sale Off Riverside Driv...
",Coral Property International Ltd,"
KSh 25,000,000
"
"
Studio apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
80 m²
","
0
","








1

","
Studio apartment for sale in Kileleshwa
",Kenya Classic Homes,"
KSh 7,000,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
196 m²
","
3
","








4

","
NEW & LUXURIOUS DEVELOPMENT OF 3 BEDROOM APARTM...
",A1 Properties Ltd,"
KSh 18,800,000
"
"
4 bedroom apartment for sale in General Mathenge
","

Donyo Sabuk, General Mathenge, Westlands

",-,"
4
","








5

","
4 Bedroom Apartment for Sale in Westlands
",Sky Limits Ventures,"
KSh 35,000,000
"
"
2023 m² residential land for sale in Langata Area
","

Langata Area, Langata

","
2023 m²
",-,-,"
½ Acre land for sale on Langata Road
",Ring Kenya Ltd,"
KSh 90,000,000
"
"
Residential land for sale in Dennis Pritt
","

Dennis Pritt, Dagoretti North

",-,-,-,"
Kileleshwa 2 & 3 Bedroom Apartments For Sale
",J.M McCarthy Properties Ltd,"
KSh 110,000,000
"
"
1 bedroom apartment for sale in Kilimani
","

Dennis Pritt, Kilimani, Dagoretti North

",-,"
1
",-,"
Denis Gardens by Ever Forgarden Company Limited...
",Ever Forgarden Company Limited,"
KSh 3,600,000
"
"
3 bedroom apartment for sale in Lavington
","

Lavington, Dagoretti North

",-,"
3
","








3

","
Brand New 3 bedroom apartment with dsq.
",Wilnas Property Ltd,"
KSh 20,000,000
"
"
Residential land for sale in Ngong Road
","

Ngong Road, Ngong Road

",-,-,-,"
Prime 1/2 Acre Land for Sale in Kerarapon, Ker...
",PMC Estates Limited,"
KSh 24,000,000
"
"
Furnished 3 bedroom apartment for sale in General Mathenge
","

General Mathenge, Westlands

",-,"
3
","








4

","
Spacious
",Halifax Estate Agency,"
KSh 28,000,000
"
"
2 bedroom apartment for sale in Lavington
","

Lavington, Dagoretti North

",-,"
2
","








2

","
2 bedroom apartment for sale in lavington
",Sarabi Realty Group,"
KSh 6,500,000
"
"
4 bedroom apartment for sale in General Mathenge
","

General Mathenge, Westlands

",-,"
4
","








4

","
COZY ULTRA LUXURY APARTMENT FOR SALE AT GENERAL...
",Ricville Properties,"
KSh 30,000,000
"
"
2 bedroom apartment for sale in Parklands
","

Parklands, Westlands

",-,"
2
","








2

","
Contemporary & Charming 2,3 & 4 Bedroom Apartme...
",Coral Property International Ltd,"
KSh 14,000,000
"
"
3 bedroom apartment for sale in Riverside
","

Riverside, Westlands

",-,"
3
","








4

","
Stunning 3 Bedroom All En-suite For Sale In Riv...
",Halifax Estate Agency,"
KSh 30,000,000
"
"
2 bedroom apartment for sale in Naivasha Road
","

Naivasha Road, Dagoretti North

",-,"
2
","








2

","
Naivasha Road 2&3 bedroom newly built apartment...
",Canaan Properties,"
KSh 6,500,000
"
"
4 bedroom apartment for sale in Lavington
","

Lavington, Lavington, Dagoretti North

","
220 m²
","
4
","








4

","
4BEDROOMS. 5BATHROOMS. 1DSQ
",Balis Properties,"
KSh 23,000,000
"
"
2 bedroom apartment for sale in Kileleshwa
","

100, Kileleshwa, Dagoretti North

","
140 m²
","
2
","








3

","
Brand New Apartments Available For Sale in Kile...
",Westside Real Estate,"
KSh 14,000,000
"
